,Date,compund,neg,neu,pos,Open,High,Low,Close,Volume
121,23-Jun-2011,0.9517,0.08199999999999999,0.723,0.195,203.0,207.0,203.0,205.96,675196
122,24-Jun-2011,-0.1045,0.107,0.79,0.10300000000000001,206.2,206.5,203.26,203.8,195700
123,27-Jun-2011,-0.8779,0.157,0.785,0.059000000000000004,202.25,204.0,201.5,202.1,91789
124,28-Jun-2011,-0.8176,0.10099999999999999,0.872,0.027000000000000003,202.0,202.0,197.0,197.9,418172
125,29-Jun-2011,-0.9842,0.272,0.659,0.07,198.4,201.0,198.4,199.3,480613
126,30-Jun-2011,-0.8929,0.17,0.733,0.09699999999999999,199.97,201.74,198.75,199.3,235080
127,01-Jul-2011,-0.1779,0.095,0.8079999999999999,0.09699999999999999,201.5,202.0,190.99,198.41,453230
128,04-Jul-2011,0.0258,0.1,0.799,0.10099999999999999,198.0,204.0,197.26,203.4,448793
129,05-Jul-2011,-0.9719,0.187,0.74,0.073,203.4,206.7,203.4,205.39,503556
130,06-Jul-2011,-0.8341,0.11800000000000001,0.7879999999999999,0.094,205.65,206.54,203.52,204.19,206503
131,07-Jul-2011,-0.9876,0.225,0.765,0.009000000000000001,204.9,206.25,202.0,202.9,202381
132,08-Jul-2011,-0.9826,0.23199999999999998,0.691,0.078,203.29,203.5,200.3,201.82,103039
133,11-Jul-2011,-0.9849,0.18600000000000003,0.7659999999999999,0.049,202.3,203.1,200.9,201.74,118688
134,12-Jul-2011,-0.9874,0.256,0.693,0.051,202.49,202.49,199.6,199.88,194921
135,13-Jul-2011,-0.9670000000000001,0.212,0.716,0.073,200.49,201.2,198.7,198.97,249694
136,14-Jul-2011,0.5792,0.11199999999999999,0.733,0.155,198.25,199.4,198.0,198.44,63130
137,15-Jul-2011,-0.2342,0.134,0.747,0.11900000000000001,199.0,200.9,198.01,199.65,376452
138,18-Jul-2011,-0.4939,0.07400000000000001,0.87,0.055999999999999994,200.69,200.75,198.05,198.54,113538
139,19-Jul-2011,-0.9796,0.193,0.773,0.034,199.99,199.99,197.51,197.83,1001195
140,20-Jul-2011,0.1531,0.11699999999999999,0.748,0.136,198.25,198.75,195.52,196.07,418241
141,21-Jul-2011,-0.9335,0.17800000000000002,0.769,0.053,197.0,198.15,196.36,197.25,230697
142,22-Jul-2011,-0.8934,0.161,0.74,0.1,197.5,200.0,197.0,197.4,981401
143,25-Jul-2011,-0.9744,0.171,0.785,0.043,198.0,198.2,192.0,192.45,740781
144,26-Jul-2011,-0.9062,0.161,0.75,0.09,192.7,196.0,192.7,195.32,1069222
145,27-Jul-2011,-0.7579,0.096,0.873,0.031,195.8,196.25,194.0,194.18,426611
146,28-Jul-2011,-0.5994,0.124,0.768,0.107,194.18,195.45,185.5,188.3,1184361
147,29-Jul-2011,-0.8779,0.166,0.738,0.096,186.18,189.8,185.1,186.43,2195107
148,01-Aug-2011,-0.9468,0.147,0.81,0.044000000000000004,186.43,189.74,182.55,185.04,524121
149,02-Aug-2011,-0.9674,0.225,0.708,0.067,185.0,189.0,184.5,187.36,495838
150,03-Aug-2011,-0.9590000000000001,0.191,0.726,0.083,187.0,187.0,180.5,181.79,532572
151,04-Aug-2011,-0.4951,0.149,0.7170000000000001,0.134,181.15,185.2,181.15,184.35,666372
152,05-Aug-2011,-0.8625,0.126,0.815,0.059000000000000004,183.01,183.7,175.14,175.18,1091966
153,08-Aug-2011,-0.9881,0.213,0.745,0.043,173.0,178.44,166.51,174.76,1131677
154,09-Aug-2011,-0.7096,0.132,0.7829999999999999,0.085,167.7,172.0,166.03,166.03,1936303
155,10-Aug-2011,-0.9524,0.214,0.723,0.063,174.25,174.33,169.65,173.53,1058470
156,11-Aug-2011,-0.9590000000000001,0.16699999999999998,0.7809999999999999,0.053,172.0,175.25,169.0,174.67,628236
157,12-Aug-2011,-0.9863,0.26,0.7090000000000001,0.031,175.9,179.94,175.15,176.15,454947
158,15-Aug-2011,-0.4767,0.131,0.75,0.11900000000000001,178.0,178.0,174.3,175.16,177900
159,16-Aug-2011,-0.9913,0.23800000000000002,0.727,0.035,174.55,175.3,173.7,174.23,241140
160,17-Aug-2011,-0.9471,0.18600000000000003,0.731,0.083,174.0,175.88,173.8,174.86,106920
161,18-Aug-2011,0.7269,0.10099999999999999,0.748,0.151,174.5,175.0,172.5,174.6,176953
162,19-Aug-2011,-0.9913,0.348,0.652,0.0,171.9,172.35,169.0,170.95,125873
163,22-Aug-2011,-0.9647,0.182,0.818,0.0,170.55,173.5,169.2,170.36,208127
164,23-Aug-2011,-0.9635,0.195,0.784,0.021,170.0,172.25,169.0,169.08,235991
165,24-Aug-2011,-0.9671,0.207,0.6990000000000001,0.094,170.3,171.64,164.0,165.32,736501
166,25-Aug-2011,-0.9359999999999999,0.152,0.778,0.07,165.49,170.5,161.61,168.9,829788
167,29-Aug-2011,-0.8555,0.15,0.777,0.073,167.0,168.5,162.0,164.83,472862
168,30-Aug-2011,-0.9914,0.314,0.65,0.035,162.99,168.5,162.9,167.78,118337
169,05-Sep-2011,-0.9186,0.198,0.6829999999999999,0.11900000000000001,168.01,175.19,167.0,174.16,508748
170,06-Sep-2011,-0.9501,0.21100000000000002,0.7070000000000001,0.08199999999999999,174.3,180.6,173.99,179.18,893669
171,07-Sep-2011,-0.9169,0.19,0.698,0.11199999999999999,179.5,182.0,177.5,179.54,749461
172,08-Sep-2011,-0.9517,0.168,0.769,0.063,180.0,181.75,177.9,178.36,320103
173,09-Sep-2011,-0.9451,0.18100000000000002,0.7190000000000001,0.1,178.49,179.3,175.5,176.06,410654
174,12-Sep-2011,0.0772,0.062,0.882,0.055999999999999994,175.4,175.4,172.8,173.46,174829
175,13-Sep-2011,-0.9619,0.218,0.6709999999999999,0.111,173.01,175.5,171.0,175.26,131489
176,14-Sep-2011,-0.0112,0.141,0.711,0.14800000000000002,175.01,176.0,174.0,174.38,69547
177,15-Sep-2011,-0.9786,0.237,0.66,0.10300000000000001,174.99,176.5,174.26,174.82,255092
178,16-Sep-2011,-0.9695,0.221,0.7120000000000001,0.067,174.0,175.51,174.0,174.98,206547
179,19-Sep-2011,-0.986,0.239,0.716,0.045,175.0,175.75,174.0,174.53,187622
